nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
Assis Chateaubriand,PR,Sul,0.7655965,80.0,34,76.559654,-3.4403457641601562,True
Paranaguá,PR,Sul,0.6144971,64.89,120,61.44971,-3.440289154052735,True
São Domingos do Araguaia,PA,Norte,0.48129904,51.56,19,48.129906,-3.4300942993164085,True
Contenda,PR,Sul,0.7519682,78.62,23,75.19682,-3.423176879882817,True
Euclides da Cunha Paulista,SP,Sudeste,0.73162484,76.58,4,73.16248,-3.417516784667967,True
Lagamar,MG,Sudeste,0.76584977,80.0,7,76.58498,-3.4150238037109375,True
Itapecerica,MG,Sudeste,0.70145357,73.56,15,70.145355,-3.4146447753906273,True
Pau dos Ferros,RN,Nordeste,0.41838276,45.25,29,41.838276,-3.411724090576172,True
Pimenta Bueno,RO,Norte,0.67964464,71.37,44,67.96446,-3.405537719726567,True
Santo Antônio do Sudoeste,PR,Sul,0.76181865,79.58,27,76.18186,-3.398138122558592,True
São Bernardo do Campo,SP,Sudeste,0.5622726,59.62,323,56.22726,-3.392739410400388,True
Santa Luzia,BA,Nordeste,0.3695231,40.34,5,36.952312,-3.3876875305175815,True
Dormentes,PE,Nordeste,0.6400951,67.39,11,64.009514,-3.380486145019532,True
Angico,TO,Norte,0.43029565,46.41,4,43.029564,-3.380436096191403,True
São Gonçalo do Piauí,PI,Nordeste,0.7662986,80.0,5,76.62986,-3.3701400756835938,True
Irati,PR,Sul,0.766311,80.0,67,76.631096,-3.3689041137695312,True
Sirinhaém,PE,Nordeste,0.6019664,63.56,46,60.19664,-3.3633599853515648,True
Muquém de São Francisco,BA,Nordeste,0.3465951,38.02,13,34.65951,-3.3604884338378938,True
Viana,MA,Nordeste,0.5852491,61.88,48,58.524914,-3.3550862121582057,True
Nova Canaã Paulista,SP,Sudeste,0.7574677,79.1,1,75.746765,-3.3532348632812443,True
Presidente Médici,MA,Nordeste,0.7280123,76.15,6,72.80123,-3.348768615722662,True
Alagoinhas,BA,Nordeste,0.37091428,40.44,99,37.091427,-3.3485731506347634,True
Sampaio,TO,Norte,0.4609269,49.44,9,46.09269,-3.3473104858398415,True
Trombudo Central,SC,Sul,0.6669711,70.04,9,66.697105,-3.3428945922851625,True
Alto Taquari,MT,Centro-Oeste,0.7017766,73.52,13,70.177666,-3.3423342895507773,True
Olivença,AL,Nordeste,0.5158798,54.93,17,51.587982,-3.3420178222656247,True
Ipira,SC,Sul,0.76660156,80.0,10,76.66016,-3.33984375,True
Queimada Nova,PI,Nordeste,0.6015302,63.49,12,60.15302,-3.3369810485839864,True
Santo Antônio do Tauá,PA,Norte,0.29604056,32.94,33,29.604057,-3.335942687988279,True
Barueri,SP,Sudeste,0.6229978,65.63,250,62.29978,-3.330218200683589,True
Iranduba,AM,Norte,0.4755001,50.85,96,47.55001,-3.2999893188476577,True
Cafelândia,PR,Sul,0.7670116,80.0,25,76.70116,-3.2988433837890625,True
Estreito,MA,Nordeste,0.5575678,59.05,56,55.75678,-3.2932212829589815,True
Dueré,TO,Norte,0.38432974,41.72,7,38.432972,-3.2870280456542957,True
Lajinha,MG,Sudeste,0.7000054,73.28,18,70.00054,-3.2794583129882824,True
São Vicente Ferrer,MA,Nordeste,0.6089907,64.17,17,60.899075,-3.2709254455566423,True
Goianápolis,GO,Centro-Oeste,0.7198912,75.26,13,71.98912,-3.2708795166015676,True
Espera Feliz,MG,Sudeste,0.696798,72.95,21,69.6798,-3.270198059082034,True
Madeiro,PI,Nordeste,0.61744624,65.01,15,61.744625,-3.2653749084472707,True
Itabuna,BA,Nordeste,0.35355544,38.61,115,35.355545,-3.254454956054687,True
