,y_alfabetizado,qtd_alunos_escola,qtd_alunos_municipio,qtd_escolas_municipio,w_peso_aluno,ref_meta_taxa_ano
y_alfabetizado,1.0,0.01718673322896997,-0.03370678948523573,-0.042832654282253316,-0.0764261973916872,0.24812117265482464
qtd_alunos_escola,0.01718673322896997,1.0,0.3814432102799329,0.2703464241941802,-0.01120910278367014,-0.03098399311235437
qtd_alunos_municipio,-0.03370678948523573,0.3814432102799329,1.0,0.9753877406935967,0.1719687560192518,-0.1680366786279374
qtd_escolas_municipio,-0.042832654282253316,0.2703464241941802,0.9753877406935967,1.0,0.17887713740566075,-0.18009462655308803
w_peso_aluno,-0.0764261973916872,-0.01120910278367014,0.1719687560192518,0.17887713740566075,1.0,-0.06169960103821344
ref_meta_taxa_ano,0.24812117265482464,-0.03098399311235437,-0.1680366786279374,-0.18009462655308803,-0.06169960103821344,1.0
