nome_regiao,taxa_real,alunos,taxa_real_pct
Norte,0.5119002847472197,18613,51.19002847472197
Nordeste,0.5537924337279696,48399,55.379243372796964
Sudeste,0.6128740456634222,55274,61.28740456634222
Centro-Oeste,0.6273276904474002,16540,62.732769044740024
Sul,0.643776972207837,28965,64.3776972207837
